callDateTime,priority,district,description,callNumber,incidentLocation,location
07/13/2015 01:06:00 PM,High,SE,Traffic Stop,P151941431,100 N HIGHLAND AV,"(39.2937110,-76.5697579)"
07/13/2015 01:04:00 PM,Medium,ND,BURGLARY,P151941432,2600 HAMPDEN AV,"(39.3182210,-76.6227080)"
07/13/2015 01:04:00 PM,Medium,SW,911/NO  VOICE,P151941433,5300 POWHATAN AV,"(39.3218761,-76.6783408)"
07/13/2015 01:06:00 PM,Medium,ND,911/NO  VOICE,P151941434,500 ILCHESTER AV,"(39.3228156,-76.6094588)"
07/13/2015 01:03:00 PM,Low,NE,HIT AND RUN,P151941435,2800 ST LO DR,"(39.3189083,-76.5871675)"
07/13/2015 01:07:00 PM,High,NE,RA POLICE,P151941436,6300 FERNBANK AV,"(39.3631050,-76.5659510)"
07/13/2015 01:07:00 PM,Non-Emergency,SD,Repairs/Service,P151941437,ASCIATE,"(,)"
07/13/2015 01:07:00 PM,Medium,CD,911/NO  VOICE,P151941439,200 N CALVERT ST,"(39.2912379,-76.6124711)"
07/13/2015 01:07:00 PM,Medium,CD,DISORDERLY,P151941440,LIGHT ST/KEY HY,"(39.280877,-76.612774)"
07/13/2015 01:06:00 PM,Low,ND,INVESTIGATE,P151941442,100 W 29TH ST,"(39.3231493,-76.6188892)"
07/13/2015 01:07:00 PM,Medium,CD,AUTO THEFT,P151941443,W LEXINGTON ST/N EUTAW ST,"(39.291497,-76.621058)"
07/13/2015 01:05:00 PM,Low,NW,INVESTIGATE,P151941444,4100 W COLD SPRING LN,"(39.3352480,-76.6876470)"
07/13/2015 01:10:00 PM,High,ND,Traffic Stop,P151941446,4500 PIMLICO RD,"(39.3417370,-76.6665660)"
07/13/2015 01:09:00 PM,Low,WD,DESTRUCT PROPTY,P151941447,1900 N FULTON AV,"(39.3102710,-76.6467580)"
07/13/2015 01:07:00 PM,Low,SD,FALSE PRETENSE,P151941449,200 S WOODYEAR ST,"(39.2855389,-76.6386556)"
07/13/2015 01:09:00 PM,Medium,NE,911/NO  VOICE,P151941450,5600 LOCH RAVEN BL,"(39.3242589,-76.6009401)"
